shared_name	shared_interaction	name	interaction	pdb	NA	number_of_underlying_edges	edge_betweenness
Nuclear mRNA export protein SAC3 (interacts with) 26S proteasome complex subunit SEM1	interacts with	Nuclear mRNA export protein SAC3 (interacts with) 26S proteasome complex subunit SEM1	interacts with	3t5v	1	112560.0
Eukaryotic translation initiation factor 5B (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	Eukaryotic translation initiation factor 5B (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	4v8y	1	12880.6986782
60S ribosomal protein L2-A (interacts with) 40S ribosomal protein S21-A	interacts with	60S ribosomal protein L2-A (interacts with) 40S ribosomal protein S21-A	interacts with	4v6i	1	12540.66428431
PROBABLE METALLOPROTEASE ARX1 (interacts with) 60S ribosomal protein L25	interacts with	PROBABLE METALLOPROTEASE ARX1 (interacts with) 60S ribosomal protein L25	interacts with	4v8t	1	12379.1679463
Eukaryotic translation initiation factor 5B (interacts with) Eukaryotic translation initiation factor 1A	interacts with	Eukaryotic translation initiation factor 5B (interacts with) Eukaryotic translation initiation factor 1A	interacts with	3wbk	1	11990.0
26S proteasome regulatory subunit 7 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit 7 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	13	11774.15177148
40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S21-A	interacts with	40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S21-A	interacts with	3j78	2	11617.09091538
26S proteasome regulatory subunit RPN6 (interacts with) Proteasome subunit alpha type-2	interacts with	26S proteasome regulatory subunit RPN6 (interacts with) Proteasome subunit alpha type-2	interacts with	6fvy	16	11502.31675839
DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC4	interacts with	DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC4	interacts with	6i84	132	11365.23977491
O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	4v8z	1	11317.68231451
26S proteasome regulatory subunit 4 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit 4 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	9	10957.29304132
ATP-dependent RNA helicase DOB1 (interacts with) 60S ribosomal protein L25	interacts with	ATP-dependent RNA helicase DOB1 (interacts with) 60S ribosomal protein L25	interacts with	6ft6	1	10899.60684709
Elongation factor 2 (interacts with) 40S ribosomal protein S23-A	interacts with	Elongation factor 2 (interacts with) 40S ribosomal protein S23-A	interacts with	6gqv	9	10764.75612564
Pre-mRNA-splicing factor 6 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	Pre-mRNA-splicing factor 6 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5zwo	6	10653.11247086
40S ribosomal protein S29-A (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	40S ribosomal protein S29-A (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	6hhq	31	10077.55912606
40S ribosomal protein S23-A (interacts with) U3 small nucleolar RNA-associated protein 11	interacts with	40S ribosomal protein S23-A (interacts with) U3 small nucleolar RNA-associated protein 11	interacts with	5wlc	1	10002.71039712
Small nuclear ribonucleoprotein Sm D1 (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	Small nuclear ribonucleoprotein Sm D1 (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	5gao	5	9987.45599533
Ribosomal RNA-processing protein 9 (interacts with) 40S ribosomal protein S24-A	interacts with	Ribosomal RNA-processing protein 9 (interacts with) 40S ribosomal protein S24-A	interacts with	5wyk	4	9895.54547481
Something about silencing protein 10 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	Something about silencing protein 10 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5wlc	1	9873.64708124
Ribosomal RNA-processing protein 9 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	Ribosomal RNA-processing protein 9 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5wyk	4	9806.95777016
40S ribosomal protein S24-A (interacts with) 40S ribosomal protein S9-A	interacts with	40S ribosomal protein S24-A (interacts with) 40S ribosomal protein S9-A	interacts with	6i7o	92	9652.64555553
Histone acetyltransferase ESA1 (interacts with) H4	interacts with	Histone acetyltransferase ESA1 (interacts with) H4	interacts with	3to6	2	9353.49047619
Something about silencing protein 10 (interacts with) 40S ribosomal protein S23-A	interacts with	Something about silencing protein 10 (interacts with) 40S ribosomal protein S23-A	interacts with	5wlc	1	9221.55956909
40S ribosomal protein S23-A (interacts with) Eukaryotic translation initiation factor 5B	interacts with	40S ribosomal protein S23-A (interacts with) Eukaryotic translation initiation factor 5B	interacts with	4v8y	1	8885.27783772
Pre-mRNA-processing factor 31 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	Pre-mRNA-processing factor 31 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5zwo	6	8771.71399711
Ubiquitin-40S ribosomal protein S31 (interacts with) 40S ribosomal protein S15	interacts with	Ubiquitin-40S ribosomal protein S31 (interacts with) 40S ribosomal protein S15	interacts with	5obm	1	8495.17345054
Small nuclear ribonucleoprotein Sm D2 (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	Small nuclear ribonucleoprotein Sm D2 (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	5gao	4	8445.65515345
40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S23-A	interacts with	40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S23-A	interacts with	4v6i	1	8395.10366259
Pre-mRNA-splicing factor 8 (interacts with) U4/U6 small nuclear ribonucleoprotein PRP3	interacts with	Pre-mRNA-splicing factor 8 (interacts with) U4/U6 small nuclear ribonucleoprotein PRP3	interacts with	5zwo	6	8312.81975471
rRNA 2'-O-methyltransferase fibrillarin (interacts with) 40S ribosomal protein S30-A	interacts with	rRNA 2'-O-methyltransferase fibrillarin (interacts with) 40S ribosomal protein S30-A	interacts with	5wyk	2	8154.79298897
Elongation factor 1 alpha-like protein (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	Elongation factor 1 alpha-like protein (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	5m1j	1	7860.54939926
Actin-related protein 4 (interacts with) Helicase SWR1	interacts with	Actin-related protein 4 (interacts with) Helicase SWR1	interacts with	5i9e	1	7686.0
Helicase SWR1 (interacts with) H2A	interacts with	Helicase SWR1 (interacts with) H2A	interacts with	4m6b	14	7642.46666667
Pre-mRNA-splicing factor 8 (interacts with) Pre-mRNA-processing factor 31	interacts with	Pre-mRNA-splicing factor 8 (interacts with) Pre-mRNA-processing factor 31	interacts with	5zwo	6	7512.37518038
Pre-mRNA-splicing factor 8 (interacts with) Pre-mRNA-splicing factor 6	interacts with	Pre-mRNA-splicing factor 8 (interacts with) Pre-mRNA-splicing factor 6	interacts with	5zwo	6	7511.42658453
Pre-mRNA-splicing helicase BRR2 (interacts with) Pre-mRNA-splicing factor 8	interacts with	Pre-mRNA-splicing helicase BRR2 (interacts with) Pre-mRNA-splicing factor 8	interacts with	5m5p	13	7464.69112554
26S proteasome regulatory subunit 6A (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit 6A (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	14	7255.75797881
60S ribosomal protein L42-A (interacts with) Suppressor protein STM1	interacts with	60S ribosomal protein L42-A (interacts with) Suppressor protein STM1	interacts with	6hhq	35	6963.34017719
Proteasome subunit alpha type-2 (interacts with) Proteasome subunit beta type-2	interacts with	Proteasome subunit alpha type-2 (interacts with) Proteasome subunit beta type-2	interacts with	6hwf	284	6805.60846497
rRNA 2'-O-methyltransferase fibrillarin (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	rRNA 2'-O-methyltransferase fibrillarin (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5wyk	3	6634.13838654
O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 40S ribosomal protein S23-A	interacts with	O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 40S ribosomal protein S23-A	interacts with	4v8z	1	6579.98056258
40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S30-A	interacts with	40S ribosomal protein S9-A (interacts with) 40S ribosomal protein S30-A	interacts with	6i7o	63	6566.59250005
40S ribosomal protein S24-A (interacts with) 60S ribosomal protein L3	interacts with	40S ribosomal protein S24-A (interacts with) 60S ribosomal protein L3	interacts with	4v6i	1	6539.58317765
DNA-directed RNA polymerases I, II, and III subunit RPABC4 (interacts with) RNA polymerase I-specific transcription initiation factor RRN7	interacts with	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (interacts with) RNA polymerase I-specific transcription initiation factor RRN7	interacts with	5w66	5	6495.50976477
Elongation factor 2 (interacts with) 40S ribosomal protein S30-A	interacts with	Elongation factor 2 (interacts with) 40S ribosomal protein S30-A	interacts with	6gqv	8	6481.04656883
ATP-dependent RNA helicase DOB1 (interacts with) 60S ribosomal protein L8-A	interacts with	ATP-dependent RNA helicase DOB1 (interacts with) 60S ribosomal protein L8-A	interacts with	6ft6	1	6424.15088149
Elongation factor 2 (interacts with) 40S ribosomal protein S24-A	interacts with	Elongation factor 2 (interacts with) 40S ribosomal protein S24-A	interacts with	5juo	1	6398.4422917
Exosome complex component RRP4 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	Exosome complex component RRP4 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	6fsz	1	6390.53766546
60S ribosomal protein L20-A (interacts with) 60S ribosomal protein L9-A	interacts with	60S ribosomal protein L20-A (interacts with) 60S ribosomal protein L9-A	interacts with	6i7o	66	6054.42801675
60S ribosomal protein L8-A (interacts with) 40S ribosomal protein S1-A	interacts with	60S ribosomal protein L8-A (interacts with) 40S ribosomal protein S1-A	interacts with	6gqv	5	5885.38791372
40S ribosomal protein S16-A (interacts with) Suppressor protein STM1	interacts with	40S ribosomal protein S16-A (interacts with) Suppressor protein STM1	interacts with	6hhq	39	5753.48111097
Elongation factor 1 alpha-like protein (interacts with) 40S ribosomal protein S23-A	interacts with	Elongation factor 1 alpha-like protein (interacts with) 40S ribosomal protein S23-A	interacts with	5m1j	1	5684.67859781
Regulatory protein SIR3 (interacts with) H2A	interacts with	Regulatory protein SIR3 (interacts with) H2A	interacts with	4kud	17	5678.08571429
Histone acetyltransferase ESA1 (interacts with) H2A	interacts with	Histone acetyltransferase ESA1 (interacts with) H2A	interacts with	5j9q	10	5616.34761905
Ribosome biogenesis protein NSA2 (interacts with) 60S ribosomal protein L9-A	interacts with	Ribosome biogenesis protein NSA2 (interacts with) 60S ribosomal protein L9-A	interacts with	6em1	5	5257.30346635
60S ribosomal protein L23-A (interacts with) 27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase	interacts with	60S ribosomal protein L23-A (interacts with) 27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase	interacts with	6elz	1	5099.50857039
40S ribosomal protein S16-A (interacts with) U3 small nucleolar RNA-associated protein 11	interacts with	40S ribosomal protein S16-A (interacts with) U3 small nucleolar RNA-associated protein 11	interacts with	5wlc	1	5089.61507856
40S ribosomal protein S11-A (interacts with) 60S ribosomal protein L19-B	interacts with	40S ribosomal protein S11-A (interacts with) 60S ribosomal protein L19-B	interacts with	4v8z	3	5070.46670723
40S ribosomal protein S7-A (interacts with) 60S ribosomal protein L19-B	interacts with	40S ribosomal protein S7-A (interacts with) 60S ribosomal protein L19-B	interacts with	4v8z	2	5010.74382212
40S ribosomal protein S16-A (interacts with) 40S ribosomal protein S29-A	interacts with	40S ribosomal protein S16-A (interacts with) 40S ribosomal protein S29-A	interacts with	6hhq	44	4929.24830777
DNA-directed RNA polymerase II subunit RPB1 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC2	interacts with	DNA-directed RNA polymerase II subunit RPB1 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC2	interacts with	6i84	132	4920.0708807
Eukaryotic translation initiation factor 1A (interacts with) Eukaryotic translation initiation factor 5	interacts with	Eukaryotic translation initiation factor 1A (interacts with) Eukaryotic translation initiation factor 5	interacts with	6fyy	2	4915.0
Eukaryotic translation initiation factor 1A (interacts with) Eukaryotic translation initiation factor 2 subunit beta	interacts with	Eukaryotic translation initiation factor 1A (interacts with) Eukaryotic translation initiation factor 2 subunit beta	interacts with	6fyy	4	4914.0
Exosome complex component RRP40 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	Exosome complex component RRP40 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	6fsz	1	4811.73413014
Proteasome subunit alpha type-2 (interacts with) Proteasome subunit beta type-3	interacts with	Proteasome subunit alpha type-2 (interacts with) Proteasome subunit beta type-3	interacts with	6hwf	305	4743.50123511
Vacuolar protein sorting-associated protein 71 (interacts with) H3	interacts with	Vacuolar protein sorting-associated protein 71 (interacts with) H3	interacts with	6gen	10	4722.78571429
60S ribosomal protein L42-A (interacts with) 60S ribosomal protein L15-A	interacts with	60S ribosomal protein L42-A (interacts with) 60S ribosomal protein L15-A	interacts with	6hd7	65	4706.46248927
Small nuclear ribonucleoprotein Sm D2 (interacts with) Protein LUC7	interacts with	Small nuclear ribonucleoprotein Sm D2 (interacts with) Protein LUC7	interacts with	6g90	2	4662.96348036
40S ribosomal protein S24-A (interacts with) Eukaryotic translation initiation factor 5B	interacts with	40S ribosomal protein S24-A (interacts with) Eukaryotic translation initiation factor 5B	interacts with	4v8y	1	4657.18003278
40S ribosomal protein S17-A (interacts with) 40S ribosomal protein S1-A	interacts with	40S ribosomal protein S17-A (interacts with) 40S ribosomal protein S1-A	interacts with	3j78	3	4583.36812254
DNA-directed RNA polymerase II subunit RPB1 (interacts with) Mediator of RNA polymerase II transcription subunit 7	interacts with	DNA-directed RNA polymerase II subunit RPB1 (interacts with) Mediator of RNA polymerase II transcription subunit 7	interacts with	5sva	1	4428.28940532
DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC2	interacts with	DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC2	interacts with	6i84	129	4416.15489319
Transcription initiation factor IIE subunit alpha (interacts with) General transcription and DNA repair factor IIH subunit TFB1	interacts with	Transcription initiation factor IIE subunit alpha (interacts with) General transcription and DNA repair factor IIH subunit TFB1	interacts with	6gym	3	4411.01683624
General transcription and DNA repair factor IIH subunit TFB4 (interacts with) General transcription and DNA repair factor IIH subunit TFB1	interacts with	General transcription and DNA repair factor IIH subunit TFB4 (interacts with) General transcription and DNA repair factor IIH subunit TFB1	interacts with	5oqm	3	4397.33333333
60S ribosomal protein L23-A (interacts with) Elongation factor 2	interacts with	60S ribosomal protein L23-A (interacts with) Elongation factor 2	interacts with	5juo	1	4343.78901574
60S ribosomal protein L8-A (interacts with) 60S ribosomal protein L2-A	interacts with	60S ribosomal protein L8-A (interacts with) 60S ribosomal protein L2-A	interacts with	6hhq	68	4331.56101007
40S ribosomal protein S30-A (interacts with) Suppressor protein STM1	interacts with	40S ribosomal protein S30-A (interacts with) Suppressor protein STM1	interacts with	5tgm	38	4266.9218465
60S ribosomal protein L2-A (interacts with) 60S ribosomal protein L25	interacts with	60S ribosomal protein L2-A (interacts with) 60S ribosomal protein L25	interacts with	4v6i	1	4257.73862772
60S ribosomal protein L20-B (interacts with) 60S ribosomal protein L9-A	interacts with	60S ribosomal protein L20-B (interacts with) 60S ribosomal protein L9-A	interacts with	4v8z	2	4073.66695011
40S ribosomal protein S29-A (interacts with) 40S ribosomal protein S17-A	interacts with	40S ribosomal protein S29-A (interacts with) 40S ribosomal protein S17-A	interacts with	4v6i	1	4056.74644907
26S proteasome regulatory subunit 6A (interacts with) Proteasome subunit alpha type-5	interacts with	26S proteasome regulatory subunit 6A (interacts with) Proteasome subunit alpha type-5	interacts with	5wvk	20	4055.47070828
60S ribosomal protein L3 (interacts with) Nucleolar GTP-binding protein 1	interacts with	60S ribosomal protein L3 (interacts with) Nucleolar GTP-binding protein 1	interacts with	6em5	6	4027.52319251
26S proteasome regulatory subunit 4 homolog (interacts with) Proteasome subunit alpha type-5	interacts with	26S proteasome regulatory subunit 4 homolog (interacts with) Proteasome subunit alpha type-5	interacts with	6fvu	2	4008.52778722
40S ribosomal protein S23-A (interacts with) 40S ribosomal protein S26-A	interacts with	40S ribosomal protein S23-A (interacts with) 40S ribosomal protein S26-A	interacts with	5mc6	1	3905.29782678
Exosome complex exonuclease RRP6 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	Exosome complex exonuclease RRP6 (interacts with) ATP-dependent RNA helicase DOB1	interacts with	6ft6	3	3862.26153454
Eukaryotic translation initiation factor 2 subunit gamma (interacts with) Eukaryotic translation initiation factor 2 subunit beta	interacts with	Eukaryotic translation initiation factor 2 subunit gamma (interacts with) Eukaryotic translation initiation factor 2 subunit beta	interacts with	6fyy	5	3850.0
Eukaryotic translation initiation factor 2 subunit gamma (interacts with) Eukaryotic translation initiation factor 5	interacts with	Eukaryotic translation initiation factor 2 subunit gamma (interacts with) Eukaryotic translation initiation factor 5	interacts with	6fyy	2	3836.0
O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 40S ribosomal protein S24-A	interacts with	O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 40S ribosomal protein S24-A	interacts with	4v8z	1	3791.66393301
DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC5	interacts with	DNA-directed RNA polymerase II subunit RPB2 (interacts with) DNA-directed RNA polymerases I, II, and III subunit RPABC5	interacts with	6i84	132	3702.57922159
26S proteasome regulatory subunit 6B homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit 6B homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	17	3676.15050291
26S proteasome subunit RPT4 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome subunit RPT4 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	17	3660.88082432
Transcription initiation factor IIE subunit beta (interacts with) DNA-directed RNA polymerase II subunit RPB1	interacts with	Transcription initiation factor IIE subunit beta (interacts with) DNA-directed RNA polymerase II subunit RPB1	interacts with	6gym	4	3615.05854549
40S ribosomal protein S2 (interacts with) Suppressor protein STM1	interacts with	40S ribosomal protein S2 (interacts with) Suppressor protein STM1	interacts with	6hhq	39	3559.09751749
26S proteasome regulatory subunit 8 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit 8 homolog (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	6ef3	14	3477.95968678
40S ribosomal protein S18-A (interacts with) Suppressor protein STM1	interacts with	40S ribosomal protein S18-A (interacts with) Suppressor protein STM1	interacts with	6hhq	45	3432.73335804
40S ribosomal protein S18-A (interacts with) U3 small nucleolar RNA-associated protein 15	interacts with	40S ribosomal protein S18-A (interacts with) U3 small nucleolar RNA-associated protein 15	interacts with	5wlc	1	3426.12353357
40S ribosomal protein S15 (interacts with) 40S ribosomal protein S30-A	interacts with	40S ribosomal protein S15 (interacts with) 40S ribosomal protein S30-A	interacts with	4v6i	1	3423.0715405
O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 60S ribosomal protein L10	interacts with	O26359:#Probable translation initiation factor IF-2#P39730:#Eukaryotic translation initiation factor 5B (interacts with) 60S ribosomal protein L10	interacts with	4v8z	1	3419.06296695
Protein NRD1 (interacts with) DNA-directed RNA polymerase II subunit RPB1	interacts with	Protein NRD1 (interacts with) DNA-directed RNA polymerase II subunit RPB1	interacts with	2lo6	1	3318.0
